Nom du pays	Code Pays	Population	Croissance de la population (% annuel)	Part des revenus détenus par les 20% les plus pauvres	Espérance de vie à la naissance (années)	Nombre d'enfants par femme	Taux de mortalité infantile (pour 1 000)	PIB ($ US courants)	Croissance du PIB (% annuel)	Agriculture (% du PIB)	Industrie (% du PIB)	Dépenses militaires (% du PIB)	Abonnements à la téléphonie mobile (pour 100 habitants)	Exportations de haute technologie (% des exportations de biens manufacturés)	Commerce de marchandises (% du PIB)	Investissements directs étrangers, entrées  (IDE, $ US courants)	PIB par habitant ($ US courants)
Afghanistan	AFG	38041754	2,311817217	..	64,833	4,321	60,3	19291104008	3,911603419	25,77397074	14,05811237	1,173907978	59,3560197	..	43,05093165	23404553,65	507,1034319
Albanie	ALB	2854191	-0,426007367	..	78,573	1,597	9,7	15279183290	2,240070268	18,47235747	20,19576373	1,27255922	91,29301538	..	56,37081405	1201022154	5353,244856
Algérie	DZA	43053054	1,933950191	..	76,88	2,988	23,3	171091000000	0,8	12,38037428	37,4392387	6,009523489	109,3560773	..	45,44825169	1381269144	3973,964072
Samoa américaines	ASM	55312	-0,276230801	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorre	AND	77142	0,176453843	..	..	..	3	3154057987	1,849238257	..	..	..	113,9573773	..	60,0496252	..	40886,39116
Angola	AGO	31825295	3,242982603	..	61,147	5,442	74,7	88815697793	-0,624644318	6,660118785	54,41159742	1,644661129	46,59863797	..	55,00491604	-4098478748	2790,726615
Antigua-et-Barbuda	ATG	97118	0,860380481	..	77,016	1,987	6,6	1661962963	4,658649157	1,760078444	21,57087781	..	..	..	43,56294431	139466666,7	17112,82113
Argentine	ARG	44938712	0,993397493	4,7	76,667	2,247	9,3	445445000000	-2,088014864	6,088397131	23,40985342	0,706520712	125,842106	5,21279068	25,64625363	6663062112	9912,281809
Arménie	ARM	2957731	0,201539723	9	75,087	1,758	11,8	13672802158	7,599999999	11,98835603	24,28740021	4,945726871	122,3487531	9,794845162	59,63664146	254077251,7	4622,733493
Aruba	ABW	106314	0,442121959	..	76,293	1,901	..	..	..	..	..	..	..	4,35366898	..	-76041739,42	..
Australie	AUS	25365745	1,521653677	..	82,9	1,657	3,6	1396570000000	2,160956295	2,121596985	25,38244874	1,879802395	110,6208823	21,5247036	35,26998667	40498920290	55057,2047
Autriche	AUT	8879920	0,444673639	..	81,79268293	1,46	3,5	445075000000	1,418734272	1,085623332	25,52425292	0,725448727	119,7752968	11,49867138	81,65537947	-8100275768	50121,55421
Azerbaïdjan	AZE	10024283	0,846646726	..	73,005	1,8	20,4	48047647059	2,218704277	5,716874181	48,68598572	3,999058616	106,9924534	4,956043573	65,55992214	1503918000	4793,125559
Bahamas	BHS	389482	0,991335935	..	73,918	1,743	12,6	13578800000	1,217873857	0,597990986	12,88847321	..	109,2494647	..	26,66656847	264596251,7	34863,7421
Bahreïn	BHR	1641172	4,469239009	..	77,292	1,964	6,9	38574069149	1,819174511	0,281718302	42,41963341	3,690245548	115,7929212	..	77,17360563	941755319,1	23503,97713
Bangladesh	BGD	163046161	1,042001128	..	72,591	2,011	30,8	302571000000	8,152684947	12,68027164	29,64867881	1,343644271	101,5491558	..	32,53151073	1908045387	1855,739824
Barbade	BRB	287025	0,133875829	..	79,19	1,623	12,7	5209000000	-0,096135553	..	..	..	114,7377406	13,69191338	38,875024	215370000	18148,24493
Bélarus	BLR	9417849	-0,694662243	10	74,22682927	1,382	3,2	63080457023	1,222096629	6,784527975	31,29630009	1,243043704	123,0082886	4,251962495	114,8374686	1273300000	6697,968615
Belgique	BEL	11502704	0,659843636	..	81,74634146	1,57	3,4	533097000000	1,743819525	0,626245135	19,11601621	0,933647268	99,7421427	12,02089268	163,3609372	-28965673808	46345,40329
Belize	BLZ	390353	1,883110736	..	74,623	2,274	12,3	1879613600	0,273680469	9,563393774	11,95510875	1,165394186	65,30473699	..	77,03711018	102890130,2	4815,163711
Bénin	BEN	11801151	2,715105359	..	61,771	4,767	90,3	14390709095	6,865687335	26,87580163	16,3125612	0,652801729	87,70201313	1,249986579	51,9710318	218207871,7	1219,432672
Bermudes	BMU	64027	0,167396746	..	81,86658537	1,59	..	7484113000	0,459889943	0,219090759	6,385165483	..	..	6,940522366	15,60639183	4389826,5	116889,9527
Bhoutan	BTN	763092	1,146382274	..	71,777	1,954	28,5	2530547158	5,46452256	15,81602193	36,13174361	..	95,5637066	..	62,23950403	13032399,58	3316,175714
Bolivie	BOL	11513100	1,399098368	5,1	71,513	2,688	26	40895322844	2,216705778	12,22175758	25,21027455	1,421958095	101,5263482	..	45,33770297	-237408056,2	3552,06876
Bosnie-Herzégovine	BIH	3301000	-0,692206409	..	77,401	1,254	5,9	20164193807	2,678160823	5,597813361	23,93800504	0,935792432	113,7691912	5,27087754	87,96285222	390210690,9	6108,510696
Botswana	BWA	2303697	2,175290909	..	69,592	2,836	41,6	18340480936	2,966125648	1,949304355	28,3027575	2,770202921	162,6411807	0,385021903	64,32219548	260928016,9	7961,325181
Brésil	BRA	211049527	0,751548427	3,1	75,881	1,719	13,9	1839760000000	1,136585572	4,436544793	17,92222642	1,476021635	95,71653293	13,27629703	22,27211356	69174151370	8717,186278
Îles Vierges britanniques	VGB	30030	0,762137664	..	..	..	..	..	..	..	..	..	..	..	..	57996843294	..
Brunéi Darussalam	BRN	433285	1,002737318	..	75,86	1,819	11,4	13469422959	3,869109865	0,98605513	62,5153211	3,345752386	132,6607198	8,503808747	90,14491591	373256767,2	31086,75112
Bulgarie	BGR	6975761	-0,703905641	..	74,91463415	1,58	6,7	68558815112	3,69430838	3,236492593	21,61878315	3,22090415	116,2063245	10,85245268	102,8007848	1643900000	9828,148515
Burkina Faso	BFA	20321378	2,844222553	..	61,577	5,109	87,5	15990803570	5,699434934	20,17366478	25,57966381	2,429948399	100,2122395	25,8025793	53,91223751	162970140,3	786,8956313
Burundi	BDI	11530580	3,128967114	..	61,584	5,321	56,5	3012334882	1,842476677	28,89755838	10,95613431	1,765131006	56,64970019	1,531362084	35,4210286	1044960,501	261,2474725
Cabo Verde	CPV	549935	1,127924314	..	72,981	2,242	14,9	1981845740	5,66775246	4,796943431	19,60576413	0,486092073	108,3184376	..	43,29297596	105301877,8	3603,781793
Cambodge	KHM	16486542	1,44639338	..	69,823	2,478	26,6	27089389787	7,054106932	20,71187069	34,22605072	2,264765445	129,9161522	1,194021495	130,7522993	3663032999	1643,121389
Cameroun	CMR	25876380	2,584247107	..	59,292	4,506	74,8	39007354359	3,720711422	14,50766354	26,03737992	1,096663762	82,70374759	..	25,87973516	1024779238	1507,450206
Canada	CAN	37593384	1,4150147	..	82,04878049	1,4684	4,9	1736430000000	1,656040845	..	..	1,280344481	91,86310664	16,51307169	52,43737391	45087716090	46189,66011
Îles Caïmans	CYM	64948	1,198880548	..	..	..	..	..	..	..	..	..	..	..	..	984919518,3	..
République centrafricaine	CAF	4745185	1,674745212	..	53,283	4,645	110,1	2220307369	2,970275648	32,42511449	21,13048118	1,498322557	33,61921611	..	34,6798831	25601157,42	467,9074406
Tchad	TCD	15946876	2,985937461	..	54,239	5,649	113,8	11314951343	3,247181917	42,59444912	14,27005097	2,17578021	48,06483101	..	41,38771664	566638950,9	709,5403101
Îles Anglo-Normandes	CHI	172259	1,026972656	..	83,086	1,509	..	..	..	..	..	..	..	..	..	..	..
Chili	CHL	18952038	1,182980431	..	80,181	1,627	7	282318000000	1,054442551	3,544254074	29,33007447	1,82160881	132,1845598	7,527474108	49,47999099	11928369565	14896,45387
Chine	CHN	1397715000	0,357291063	..	76,912	1,696	7,9	14279900000000	5,949714233	7,143691248	38,58740342	1,888597953	121,7922911	30,78501209	32,05786447	155815000000	10216,63033
Colombie	COL	50339443	1,356788043	3,7	77,287	1,789	13,8	323616000000	3,260216702	6,74171968	26,25682677	3,152355574	131,6724442	9,124115414	28,47912522	14313721547	6428,676206
Comores	COM	850886	2,205877437	..	64,321	4,138	62,9	1165839927	1,986109517	33,07157522	8,853911468	..	67,60224049	3,031922602	23,41659379	3677361,421	1370,148207
Congo, République démocratique du	COD	86790567	3,187086302	..	60,681	5,819	84,8	50400746171	4,384528881	19,96523389	40,73373984	0,6738169	42,77332121	..	25,79326892	1350994226	580,7168672
Congo, République du	COG	5380508	2,562900803	..	64,57	4,374	47,8	12267392147	-3,544130306	7,784656909	50,35756024	2,662898759	..	6,671594467	83,89721203	3366085029	2279,969131
Costa Rica	CRI	5047561	0,957905014	4,4	80,279	1,737	8,6	61801385049	2,083794843	4,243557049	18,46033524	0	169,3935546	17,56490681	45,22714172	2505080215	12243,81143
Côte d'Ivoire	CIV	25716544	2,549336239	..	57,783	4,593	79,3	58539424930	6,231709513	20,67122108	21,18727272	1,139994222	145,340692	11,232924	39,43496204	1008704755	2276,333279
Croatie	HRV	4065253	-0,554146739	..	78,42439024	1,47	4,8	60752588976	2,858925968	2,920006027	20,26115585	1,667802902	106,6423198	8,304374303	74,63056433	1170052265	14944,35622
